saranga|Rama Ninne Nammitini|Poochi Srinivasa Iyengar|
saranga|Rame Vasatu Manome Raksasakula|Mysore Vasudevacar|
saranga|Saranga Ragapriye Santatam|M Dikshitar|
saranga|Tyagaraje Kritya Krityam|M Dikshitar|
saranga|Varadarajam Upasmahe|M Dikshitar|
deshaksi|Simha Calamuna|Balamurali Krishna|
brndavani|Dhim Nanana Tillillana-tillana|Balamurali Krishna|
brndavani|Kaliyuga Varadan|Periyasamy Turan|
brndavani|Ragam Tanam Pallavi|Own/others|
brndavani|Tillana|Lalgudi Jayaraman|
hamsavinodini|Guruni Smarimpumu|Balamurali Krishna|
hamsavinodini|Ragam Tanam Pallavi|Own/others|
karavani|Amba Vani Nannu|Muthaiah Bagavatar|
karavani|Baala Sarasa|Oothukadu Venkata Kavi|
karavani|Bhavaye Sarasijanabham|Swatitirunal|
karavani|Brovu Brovu Manine Vedite|Syama Sastri|
karavani|Devi Niye Tunai|Papanasam Sivan|
karavani|Ellam Shei|Dandapani Desikar|
karavani|Innamum Sandehappadalamo|Gopalakrishna Bharati|
karavani|Kadavul Arulai|Dandapani Desikar|
karavani|Kaligiyuntegada Galgunu|Tyagaraja|
karavani|Karunakarane Shiva|Papanasam Sivan|
karavani|Nijamuga Rama|Poochi Srinivasa Iyengar|
karavani|Ni Caranambujamunu|Gn Balasubramanian|
karavani|Punniyam Oru Koti|Periyasamy Turan|
karavani|Ragam Tanam Pallavi|Own/others|
karavani|Shri Daksinamurtim|Balamurali Krishna|
karavani|Uruga Vendamo|Ambujam Krishna|
karavani|Varamulosagi|Patnam Subhramanya Iyer|
karavani|Velava Vinai|Koteswara Iyer|
kannadabangala|Renuka Devi Samraksitoham|M Dikshitar|
kalavati|Ennadu Jutuno|Tyagaraja|
kalavati|Kalavati Kamalananayuvati|M Dikshitar|
kalavati|Okapari Judaga Rada|Tyagaraja|
kalavati|Ragam Tanam Pallavi|Own/others|
vamshavati|Bhaktavatsalam Abhisekavalli|M Dikshitar|
vamshavati|Vamshavati Shiva Yuvati|M Dikshitar|
jyotisvarupini|Anandamaya Manave|Walajapet Venkatramana Bagavat|
jyotisvarupini|Ganamuda Panam|Koteswara Iyer|
jyotisvarupini|Jyotisvarupini Jaya|Periyasamy Turan|
jyotisvarupini|Rame Bharata Palita|M Dikshitar|
todi|Amba Nadu Vinnapamu|Pallavi Gopala Iyer|
todi|Aragimpave Palaragimpave|Tyagaraja|
todi|Bhagala Deviya|Muthaiah Bagavatar|
todi|Bharati Mamava|Swatitirunal|
todi|Brndavanalola Govinda|Tyagaraja|
todi|Cesinadella Maracitivo|Tyagaraja|
todi|Dacukovalena Dasharathi|Tyagaraja|
todi|Daksayani Abhayambike|M Dikshitar|
todi|Dani Samajendra|Swatitirunal|
todi|Dasharathini Runamu|Tyagaraja|
todi|Devadeva Mam Palaya|Swatitirunal|
todi|Emani Mataditivo Rama|Tyagaraja|
todi|Emani Migula Varnintu|Syama Sastri|
todi|Emi Jesitenemi Shri|Tyagaraja|
todi|Enduku Dayaradura Shri|Tyagaraja|
todi|Endu Daginado|Tyagaraja|
todi|Era Napai Inta-varnam|Koththavasal Venkatarama Iyer|
todi|Era Napai Inta-varnam|Patnam Subhramanya Iyer|
todi|Gangai Ani|Papanasam Sivan|
todi|Gati Nivani Ne Kori|Tyagaraja|
todi|Gati Niye Enru|Ambujam Krishna|
todi|Kadaikkan Nokki Kavadadum|Papanasam Sivan|
todi|Kaddanu Variki Kaddukaddani|Tyagaraja|
todi|Kali Tira Vandarul|Koteswara Iyer|
todi|Kamala Ambike Aahrta Kalpalatike|M Dikshitar|
todi|Kanakangi Ni Celimi-varnam|Pallavi Gopala Iyer|
todi|Kartikeya Gangeya|Papanasam Sivan|
todi|Karunanidhi Ilalo Nivanucunu|Syama Sastri|
todi|Karuna Judavamma|Tyagaraja|
todi|Koluvamaregada Kodandapani|Tyagaraja|
todi|Koti Nadulu Dhanuskotilo|Tyagaraja|
todi|Krpalaya Shri Guru Madhvaraya|Mysore Sadashiva Rao|
todi|Maha Ganapatim Vande|M Dikshitar|
todi|Mama Kuleshvaram|Gn Balasubramanian|
todi|Mandaradharasundara|Swatitirunal|
todi|Marakatamani Nila|Lalitadasar|
todi|Ma Ma Ni Ni|Balamurali Krishna|
todi|Meenalocani Amba|Muthaiah Bagavatar|
todi|Munnu Ravana Badha Norvaka|Tyagaraja|
todi|Nannu Brocutaku|Subbaraya Shastri|
todi|Ne Morabettite Madilona|Tyagaraja|
todi|Ninne Namminanu Sada|Syama Sastri|
todi|Ninnu Vina Sukhamu Gana|Tyagaraja|
todi|Nivanti Daivamu Sadanana|Tyagaraja|
todi|Ni Daya Ravalegaka Nenenta|Tyagaraja|
todi|Palaya Mam Brhadishvari|M Dikshitar|
todi|Pankajaksanam|Swatitirunal|
todi|Pankajaksa Tava|Swatitirunal|
todi|Paratpara Raghuvara|Mysore Vasudevacar|
todi|Ragam Tanam Pallavi|Own/others|
todi|Raju Vedale Jutamu Rare|Tyagaraja|
todi|Ramacandraya Namaste|M Dikshitar|
todi|Rama Daivashikhamanee|Bhadracala Ramadas|
todi|Rara Vasudeva|Walajapet Venkatramana Bagavat|
todi|Rave Himagiri Kumari|Syama Sastri|
todi|Re Manasa Cintaya Shri|Tyagaraja|
todi|Rupamu Juci Valaci Vaccitini|M Dikshitar|
todi|Sadasiva Bhajaname|Papanasam Sivan|
todi|Sami Ninne Koriyunnanura|Patnam Subhramanya Iyer|
todi|Saraguna Gavumu-varnam|Balamurali Krishna|
todi|Sarasijanabhamurare|Swatitirunal|
todi|Shri Kamalambike|Subbaraya Shastri|
todi|Shri Krsnam Bhaja Manasa|M Dikshitar|
todi|Shri Subrahmanyo Mam Rakshatu|M Dikshitar|
todi|Shri Venkatesham Vara|Poochi Srinivasa Iyengar|
todi|Sriramacandra Disa|Swatitirunal|
todi|Sudhanidhe Mamava|Balamurali Krishna|
todi|Taaye Yashodaa|Oothukadu Venkata Kavi|
todi|Tamadamen Svami|Papanasam Sivan|
todi|Tanikai Valar|Papanasam Sivan|
todi|Tanikeshanai Panindu|Papanasam Sivan|
todi|Tappi Bratiki Pova Tarama|Tyagaraja|
todi|Tedittedi|Ambujam Krishna|
todi|Telisu Kolumanna|Balamurali Krishna|
todi|Tillana|Poochi Srinivasa Iyengar|
todi|Varidhi Niku Vandana|Tyagaraja|
todi|Vedalenu Kodandapani|Tyagaraja|
todi|Vedaranyeshvaraya Namaste|M Dikshitar|
todi|Vel Edutta Kaiye|Periyasamy Turan|
todi|Venugana Ramana|Oothukadu Venkata Kavi|
varali|Dharanu Ni Saridaivamu|Tyagaraja|
varali|Dikku Verillai|Papanasam Sivan|
varali|Engini Shelven|Ambujam Krishna|
varali|Eti Janmam Idiha O Rama|Tyagaraja|
varali|I Menu Galiginanduku|Tyagaraja|
varali|Kamaksi Bangaru Kamaksi|Syama Sastri|
varali|Kanakana Rucira Kanakavasana|Tyagaraja|
varali|Karunai Puri Idu|Nila Kanta Sivan|
varali|Karuna Elagante Ni Vidhame|Tyagaraja|
varali|Karuna Judavamma Vinavamma|Syama Sastri|
varali|Ka Va Va Kanda Va Va|Papanasam Sivan|
varali|Lambodaraya Namaste|M Dikshitar|
varali|Mamava Minaksi Rajamatangi|M Dikshitar|
varali|Mamava Padmanabham|Swatitirunal|
varali|Marakata Mani Varna|Tyagaraja|
varali|Ne Pogadakunte Nikemi|Tyagaraja|
varali|Noremi Shri Rama Ninnada|Tyagaraja|
varali|Pahi Paramatma Dayalo|Tyagaraja|
varali|Pahi Rama Ramana Mam|Tyagaraja|
varali|Ragam Tanam Pallavi|Own/others|
varali|Shesacala Nayakam Bhajami|M Dikshitar|
varali|Shri Rama Shri Rama|Tyagaraja|
varali|Vanajaksa Nive Gatiyani|Poochi Srinivasa Iyengar|
hindolam|Abhaya Varade Sharade|Indira Natesan|
hindolam|Chandrashekhara Sarasvatiye|Maharajapuram Santanam|
hindolam|Cintayami Jagadambam|Jayacamaraja Wodayar|
hindolam|Dhimnana Ta Dhirana-tillana|Balamurali Krishna|
hindolam|Dhim Tananana-tillana|Mysore Vasudevacar|
hindolam|Eka Radanam|Tulasivanam|
hindolam|Gana Rasike Gana Verevaru|Balamurali Krishna|
hindolam|Govardhana Girisham|M Dikshitar|
hindolam|Imaya Malai Petra|Lalitadasar|
hindolam|Karunalaya Nidhiye|Vedanayakam Pillai|
hindolam|Mal Marugan Murugan|Tanjavur Sankara Iyer|
hindolam|Mamavatu Shri Sarasvati|Mysore Vasudevacar|
hindolam|Manasuloni Marmamulu|Tyagaraja|
hindolam|Manavakula Bhusana|Gn Balasubramanian|
hindolam|Matsi Mighunda|Dandapani Desikar|
hindolam|Ma Ramanan Uma Ramanan|Papanasam Sivan|
hindolam|Nambik Kettavar|Papanasam Sivan|
hindolam|Nava Lavanya|Muthaiah Bagavatar|
hindolam|Nirajaksi Kamaksi|M Dikshitar|
hindolam|Padmanabha Pahi|Swatitirunal|
hindolam|Ragam Tanam Pallavi|Own/others|
hindolam|Ramanukku Mannan Mudi|Arunacala Kavi|
hindolam|Sakala Kala Vani|Gn Balasubramanian|
hindolam|Samagana Lolane|Papanasam Sivan|
hindolam|Samagana Lole|Gn Balasubramanian|
hindolam|Samaja Vara Gamana|Tyagaraja|
hindolam|Sami Ninne Kori Yunnanu|Poochi Srinivasa Iyengar|
hindolam|Sarasvati Vidhiyuvati|M Dikshitar|
hindolam|Shivanai Ninandavar|Papanasam Sivan|
hindolam|Tillana|Poochi Srinivasa Iyengar|
hindolam|Tirupparam Kunra|Papanasam Sivan|
hindolam|Tunai Purindarul|Papanasam Sivan|
vishnupriya|Balasubramanyan Padame|Tanjavur Sankara Iyer|
vishnupriya|Ragam Tanam Pallavi|Own/others|
malavashri|Evarunnaru Brova|Tyagaraja|
phalamanjari|Palukutace Phalamemi|Patnam Subhramanya Iyer|
phalamanjari|Sanaatana Paramapavana|Tyagaraja|
phalamanjari|Shri Narasimha Mam Pahi|Tyagaraja|
phalamanjari|Shri Venkatesha|Patnam Subhramanya Iyer|
pavani|Anjade Nenjame|Koteswara Iyer|
pavani|Lemidelpa Peddalevaru|Tyagaraja|
chayaranjani|Nivalayince|Gn Balasubramanian|
gaurimanohari|Brova Samayamide|Garbhapurivasa|
gaurimanohari|Devi Gauri Ninna Dhyanisuva|Muthaiah Bagavatar|
gaurimanohari|Eppo Tolaiyum|Gopalakrishna Bharati|
gaurimanohari|Garuda Gamana Vasudeva|Tyagaraja|
