vajrakanti||s,g2,m1,p,n2,s.|s.,n2,d2,p,m1,g2,r2,s|22
dasharathipriya||s,m1,g3,m1,p,d2,n2,d2,s.|s.,n2,d2,p,m1,g3,m1,r2,s|28
kunjari||s,r1,m1,p,d2,p,s.|s.,n3,d2,p,m1,g1,r1,s|5
calakesari||s,r1,m2,p,d1,n3,s.|s.,d1,p,m2,r1,s|45
shenkumizh||s,r2,g3,m1,p,d2,s.|s.,n3,p,g3,r2,s|29
tayalakhamas||s,m1,g3,m1,p,d2,n2,s,n2,s.|s.,n2,d2,p,m1,g3,r2,g3,s|28
bhupkalyani||s,r2,m2,p,d2,s.|s.,n3,d2,p,m2,g3,r2,s|65
mrgendramadhyam||s,r3,g3,d2,n3,s.|s.,n3,d2,g3,r3,s|35
tindiral||s,r1,g2,m2,p,d2,n2,s.|s.,d2,p,m2,g2,r1,s|46
bharmangi||s,r3,g3,d1,n3,s.|s.,n3,d1,g3,r3,s|33
amboruham||s,r1,g2,p,d1,n2,s.|s.,n2,p,d1,p,g2,r1,s|44
pirakkiyan||s,g3,m2,d2,n3,s.|s.,d2,m2,r1,s|53
sikiriyantam||s,g2,p,n2,s.|s.,d2,p,m2,r2,s|58
mahuri||s,r2,m1,p,d2,s.|s.,n3,p,m1,g3,r2,s|29
anandanatani||s,r1,g1,m1,p,n2,s.|s.,n2,p,m1,g1,r1,s|2
brurayasi||s,g3,p,d1,n1,s.|s.,n1,d1,p,m2,g3,s|61
idikkodiyon||s,r1,g2,m1,p,d2,n2,s.|s.,n2,p,m1,g2,r1,s|10
vedavalli||s,r2,g2,m1,p,n3,s.|s.,n3,d2,p,m1,g2,r2,s|23
hurcakapi||s,r2,g2,m1,p,d2,n2,s.|s.,n2,d2,p,m1,g2,r2,s|22
jhankarapriya||s,g2,r2,g2,m1,p,d1,n1,s.|d1,n1,d1,p,m1,g2,r2|19
purvagaula||s,r2,m1,p,n3,d2,n3,p,d2,n3|s.,n3,d2,p,m1,g3,r2,s|29
amradesi||s,g3,m2,p,d1,n2,d1,s.|s.,n2,d1,p,m2,g3,s|62
smokambari||s,r1,m1,p,n3,d1,s.|s.,d1,p,m1,r1,g3,m1,r1,s|15
dayavati||s,r2,g2,p,n2,s.|s.,n2,p,m1,g2,s|22
rasavali||s,r1,m1,p,d1,n2,s.|s.,d1,p,m1,g1,r1,s|2
atapa||s,g3,m1,p,n2,s.|s.,n2,d1,m1,r1,s|14
simhavacandana||s,r1,g3,m2,p,d1,n3,s.|s.,d1,p,g3,m2,r1,g3,m2,r1,s|51
amrtabehag||s,m2,g3,p,n3,d2,s.|s.,n3,d2,m2,g3,s|65
paingala||s,r2,g3,m2,p,n3,d2,n3,s.|s.,d2,m2,g3,r2,s|65
kusumakallolam||s,p,m1,r3,g3,m1,p,s.|s.,n2,d1,p,m1,g3,s|32
devamukhi||s,r2,g3,p,d2,s.|s.,d2,p,m1,g3,r2,s|28
suvarnakriya||s,g3,m1,p,d2,n2,s.|s.,n2,p,g3,r2,s|28
niranjanam||s,r1,g3,p,n3,s.|s.,d1,p,m2,g3,s|51
somamanjari||s,g3,m2,p,d1,s.|s.,d1,p,m2,g3,r3,s|67
prabhupriya||s,g2,m1,p,d1,s.|s.,d1,p,m1,g2,s|8
gurjari||s,r1,g3,p,d1,s.|s.,d1,p,m1,g3,r1,s|15
chayadevi||s,r2,g3,m1,p,d1,n2,s.|s.,d1,p,g3,r2,s|26
lokaranjani||s,g3,m2,p,m2,d2,n2,s.|s.,n2,d2,n2,p,m2,g3,r1,s|52
tranashobhi||s,r2,m1,p,d2,n2,s.|s.,n2,d2,n2,p,m1,g3,s|28
shuddhabhogi||s,r1,g1,m2,p,n1,d1,s.|s.,d1,n1,p,m2,g1,r1,s|37
natiparam||s,r1,g1,m2,d1,n2,s.|s.,n2,d1,n2,m2,g1,r1,g1,s|38
alankarapriya||s,r1,g2,m1,d2,n2,s.|s.,n2,d2,m1,g2,r1,s|10
tandolika||s,r2,m2,p,n2,d2,s.|s.,n2,d2,p,m2,g3,r2,s|64
bhrngamohi||s,r1,m2,p,d2,n3,s.|s.,n3,d2,p,m2,r1,s|47
narasamu||s,r1,g3,m1,d3,s.|s.,d3,m1,g3,r1,s|18
bangalagaula||s,r2,m2,p,m2,d1,n1,s.|s.,d1,p,m2,g2,r2,s|55
svarakalanidhi||s,m1,g2,m1,p,d2,n2,s.|s.,n2,d2,n2,p,m1,r2,g2,s|22
hemambari||s,r2,g2,m2,d1,s.|s.,d1,m2,g2,r2,s|55
nitimanjari||s,r2,g2,m2,p,d3,s.|s.,n3,d3,p,m2,r2,p,m2,g2,r2,s|60
haimambari||s,r2,g2,m2,p,d2,n2,s.|s.,p,m2,g2,r2,s|58
ishanan||s,r1,g2,p,d2,n3,s.|s.,n3,d2,p,m1,g2,r1,s|11
uragadhipa||s,r1,g3,p,n3,s.|s.,d1,m1,r1,s|15
adikavimpiriyan||s,r2,g3,m2,p,d2,n3,s.|s.,n3,p,m2,g3,r2,s|65
nabhomani||s,r1,g1,r1,m2,p,s.|s.,n2,d2,p,m2,g1,r1,s|40
nadamanjari||s,g2,m2,d2,n2,p,d2,n2,s.|s.,n2,d2,m2,g2,r1,s|46
nitilaprakashini||s,m1,p,d1,n3,s.|s.,n3,p,m1,r1,g3,s|15
pramodghati||s,r2,g3,m1,p,d2,n3,s.|s.,n3,m1,r2,g3,s|29
aduturaiyan||s,g2,m1,p,n3,s.|s.,n3,d2,p,m1,g2,r2,s|23
samasalavi||s,r2,g2,m1,p,s.|s.,n3,d2,p,m1,g2,r2,s|23
sarvamati||s,m1,g2,d2,n3,s.|s.,n3,d2,p,m1,g2,r2,s|23
andalikurinji||s,r2,m1,p,d2,s.|s.,d2,p,m1,g3,r2,s|28
nandavasudha||s,g3,r2,m1,p,d3,n3,s.|s.,n3,p,m1,r2,g3,m1,s|30
nagabharani||s,r2,g3,p,m1,r2,m1,p,s.|s.,d1,p,m1,g3,r2,s|27
ekasvarupi||s,r1,g1,m2,g1,r1,p,n3,d1,n3|s.,n3,d1,p,m2,g1,r1,s|39
